"state","jurisdiction","fipscode","office","candidate","party","votes"
DE,KENT COUNTY,"010001",President,Joe Biden,D,44552
DE,KENT COUNTY,"010001",President,Donald Trump,R,41009
DE,KENT COUNTY,"010001",President,Jo Jorgensen,L,1044
DE,KENT COUNTY,"010001",President,Howie Hawkins,G,420
DE,NEW CASTLE COUNTY,"010003",President,Joe Biden,D,195034
DE,NEW CASTLE COUNTY,"010003",President,Donald Trump,R,88364
DE,NEW CASTLE COUNTY,"010003",President,Jo Jorgensen,L,2953
DE,NEW CASTLE COUNTY,"010003",President,Howie Hawkins,G,1282
DE,SUSSEX COUNTY,"010005",President,Donald Trump,R,71230
DE,SUSSEX COUNTY,"010005",President,Joe Biden,D,56682
DE,SUSSEX COUNTY,"010005",President,Jo Jorgensen,L,1003
DE,SUSSEX COUNTY,"010005",President,Howie Hawkins,G,437
DC,DISTRICT OF COLUMBIA,"011001",President,Joe Biden,D,39041
DC,DISTRICT OF COLUMBIA,"011001",President,Donald Trump,R,1725
DC,DISTRICT OF COLUMBIA,"011001",President,Other,WI,298
DC,DISTRICT OF COLUMBIA,"011001",President,Howie Hawkins,G,259
DC,DISTRICT OF COLUMBIA,"011001",President,Jo Jorgensen,L,204
FL,ALACHUA COUNTY,"012001",President,Joe Biden,D,89704
FL,ALACHUA COUNTY,"012001",President,Donald Trump,R,50972
FL,ALACHUA COUNTY,"012001",President,Jo Jorgensen,L,1390
FL,ALACHUA COUNTY,"012001",President,Howie Hawkins,G,302
FL,ALACHUA COUNTY,"012001",President,Rocky De La Fuente,AL,70
FL,ALACHUA COUNTY,"012001",President,Don Blankenship,C,52
FL,ALACHUA COUNTY,"012001",President,Other,WI,20
FL,BAKER COUNTY,"012003",President,Donald Trump,R,11911
FL,BAKER COUNTY,"012003",President,Joe Biden,D,2037
FL,BAKER COUNTY,"012003",President,Jo Jorgensen,L,93
FL,BAKER COUNTY,"012003",President,Howie Hawkins,G,10
FL,BAKER COUNTY,"012003",President,Rocky De La Fuente,AL,4
FL,BAKER COUNTY,"012003",President,Don Blankenship,C,1
FL,BAKER COUNTY,"012003",President,Other,WI,0
FL,BAY COUNTY,"012005",President,Donald Trump,R,66097
