p_first,p_last,vp_first,vp_last,party,year,election_type
Joseph,Biden,Kamala,Harris,D,2020,PRESIDENTIAL
Donald,Trump,Michael,Pence,R,2020,PRESIDENTIAL
Hillary,Clinton,Timothy,Kaine,D,2016,PRESIDENTIAL
Donald,Trump,Michael,Pence,R,2016,PRESIDENTIAL
Barack,Obama,Joseph,Biden,D,2012,PRESIDENTIAL
Willard,Romney,Paul,Ryan,R,2012,PRESIDENTIAL
Barack,Obama,Joseph,Biden,D,2008,PRESIDENTIAL
John,McCain,Sarah,Palin,R,2008,PRESIDENTIAL
John,Kerry,Johnny,Edwards,D,2004,PRESIDENTIAL
George,Bush,Richard,Cheney,R,2004,PRESIDENTIAL
Albert,Gore,Joseph,Lieberman,D,2000,PRESIDENTIAL
George,Bush,Richard,Cheney,R,2000,PRESIDENTIAL
William,Clinton,Albert,Gore,D,1996,PRESIDENTIAL
Robert,Dole,Jack,Kemp,R,1996,PRESIDENTIAL
Henry,Perot,Pat,Choate,RF,1996,PRESIDENTIAL
William,Clinton,Albert,Gore,D,1992,PRESIDENTIAL
George,Bush,James,Quayle,R,1992,PRESIDENTIAL
Henry,Perot,James,Stockdale,I,1992,PRESIDENTIAL
Michael,Dukakis,Lloyd,Bentsen,D,1988,PRESIDENTIAL
George,Bush,James,Quayle,R,1988,PRESIDENTIAL
Joanne,Jorgensen,Jeremy,Cohen,L,2020,PRESIDENTIAL
Gary,Johnson,William,Weld,L,2016,PRESIDENTIAL
Gary,Johnson,James,Gray,L,2012,PRESIDENTIAL
Robert,Barr,Wayne,Root,L,2008,PRESIDENTIAL
Michael,Badnarik,Richard,Campagna,L,2004,PRESIDENTIAL
Harry,Browne,Arthur,Oliver,L,2000,PRESIDENTIAL
Harry,Browne,Joanne,Jorgensen,L,1996,PRESIDENTIAL
Andre,Marrou,Nancy,Lord,L,1992,PRESIDENTIAL
Ronald,Paul,Andre,Marrou,L,1988,PRESIDENTIAL
Donald,Blankenship,William,Mohr,C,2020,PRESIDENTIAL
Darrell,Castle,Scott,Bradley,C,2016,PRESIDENTIAL
Virgil,Goode,James,Clymer,C,2012,PRESIDENTIAL
Charles,Baldwin,Darrell,Castle,C,2008,PRESIDENTIAL
Michael,Peroutka,Charles,Baldwin,C,2004,PRESIDENTIAL
Howard,Phillips,Michael,Sobran,C,2000,PRESIDENTIAL
Howard,Phillips,Herbert,Titus,C,1996,PRESIDENTIAL
Howard,Phillips,Albion,Knight,C,1992,PRESIDENTIAL
Howard,Hawkins,Angela,Walker,G,2020,PRESIDENTIAL
Jill,Stein,Ajamu,Baraka,G,2016,PRESIDENTIAL
