first_name,middle_initial,last_name,home_state,birth_date,death_date,nickname,display_name
Donald,J,Trump,FL,"14-Jun-1946",,,Donald Trump
Michael,R,Pence,IN,"07-Jun-1959",,Mike,Mike Pence
Joseph,R,Biden,DE,"20-Nov-1942",,Joe,Joe Biden
Kamala,D,Harris,CA,"20-Oct-1964",,,Kamala Harris
Joanne,M,Jorgensen,SC,"01-May-1957",,Jo,Jo Jorgensen
Jeremy,,Cohen,SC,"28-Jun-1982",,Spike,Spike Cohen
Howard,G,Hawkins,NY,"08-Dec-1952",,Howie,Howie Hawkins
Angela,N,Walker,WI,"19-Jan-1974",,,Angela Walker
Gloria,E,La Riva,CA,"12-Aug-1954",,,Gloria La Riva
Sunil,,Freeman,MD,,,,Sunil Freeman
Eugene,,Puryear,DC,"28-Feb-1986",,,Eugene Puryear
Dennis,J,Banks,MN,"12-Apr-1937",,,Dennis Banks
Michael,J,Sobran,MI,"23-FEB-1946","30-SEP-2010",Joseph,Joseph Sobran
Donald,L,Blankenship,WV,"14-Mar-1950",,Don,Don Blankenship
Hillary,R,Clinton,NY,"26-Oct-1947",,,Hillary Clinton
Timothy,M,Kaine,VA,"26-Feb-1958",,Tim,Tim Kaine
Gary,E,Johnson,NM,"01-Jan-1953",,,Gary Johnson
William,F,Weld,MA,"31-Jul-1945",,Bill,Bill Weld
Roque,,de la Fuente,CA,"10-Oct-1954",,Rocky,Rocky de la Fuente
Darcy,G,Richardson,PA,"06-Dec-1955",,,Darcy Richardson
William,A,Mohr,MI,"23-May-1959",,Bill,Bill Mohr
Jill,E,Stein,MA,"14-May-1950",,,Jill Stein
Ajamu,S,Baraka,DC,"25-Oct-1953",,,Ajamu Baraka
Darrell,L,Castle,TN,"11-Oct-1948",,,Darrell Castle
Scott,N,Bradley,UT,"13-Sep-1951",,,Scott Bradley
David,E,McMullin,UT,"02-Apr-1976",,Evan,Evan McMullin
Mindy,,Finn,DC,"10-Feb-1981",,,Mindy Finn
Barack,H,Obama,IL,"04-Aug-1961",,,Barack Obama
Willard,M,Romney,UT,"12-Mar-1947",,Mitt,Mitt Romney
Paul,D,Ryan,WI,"29-Jan-1970",,,Paul Ryan
James,P,Gray,CA,"14-Feb-1945",,Jim,Jim Gray
Virgil,H,Goode,VA,"17-Oct-1946",,,Virgil Goode
James,N,Clymer,PA,"04-May-1948",,Jim,Jim Clymer
Ross,C,Anderson,UT,"09-Sep-1951",,Rocky,Rocky Anderson
Luis,J,Rodriguez,CA,,,,Luis Rodriguez
Peta,,Lindsay,PA,,,,Peta Lindsay
John,S,McCain,AZ,"29-Aug-1936","25-Aug-2018",,John McCain
Sarah,L,Palin,AK,"11-Feb-1964",,,Sarah Palin
Charles,O,Baldwin,MT,"03-May-1952",,Chuck,Chuck Baldwin
Cynthia,A,McKinney,GA,"17-Mar-1955",,,Cynthia McKinney
Rosa,A,Clemente,NY,"18-Apr-1972",,,Rosa Clemente
Robert,L,Barr,GA,"05-Nov-1948",,Bob,Bob Barr
Wayne,A,Root,NV,"20-Jul-1961",,,Wayne Alan Root
Ralph,,Nader,CT,"27-Feb-1934",,,Ralph Nader
Matthew,E,Gonzalez,CA,"04-Jun-1965",,Matt,Matt Gonzalez
Brian,P,Moore,FL,"08-Jun-1943",,,Brian Moore
Stewart,A,Alexander,CA,"01-Oct-1951",,,Stewart Alexander
George,W,Bush,TX,"06-Jul-1946",,,George W. Bush
Richard,B,Cheney,WY,"30-Jan-1941",,Dick,Dick Cheney
John,F,Kerry,MA,"11-Dec-1943",,,John Kerry
Johnny,R,Edwards,NC,"10-Jun-1953",,John,John Edwards
Michael,J,Badnarik,TX,"01-Aug-1954",,,Michael Badnarik
Richard,V,Campagna,IA,,,,Richard Campagna
Michael,A,Peroutka,MD,,,,Michael Peroutka
Peter,,Guanche,CA,"31-Dec-1939","13-Sep-2008",,Peter Camejo
Patricia,H,LaMarche,ME,"26-Nov-1960",,Pat,Pat LaMarche
David,K,Cobb,TX,,,,David Cobb
Albert,A,Gore,TN,"31-Mar-1948",,Al,Al Gore
Joseph,I,Lieberman,CT,"24-Feb-1942",,Joe,Joe Lieberman
Patrick,J,Buchanan,VA,"02-Nov-1938",,Pat,Pat Buchanan
Ezola,B,Foster,CA,"09-Aug-1938","22-May-2018",,Ezola Foster
Winona,,LaDuke,MN,"18-Aug-1959",,,Winona LaDuke
