fips,1960,1970,1980,1990,2000,2010
1,"3,235,402","3,368,487","3,813,014","3,945,798","4,334,919","4,662,094"
1001,"18,454","24,313","32,107","34,009","43,377","54,255"
1003,"49,722","58,776","77,726","97,227","138,148","180,970"
1005,"24,975","22,424","24,533","24,785","26,239","24,530"
1007,"14,775","13,761","15,520","16,304","19,852","21,794"
1009,"25,414","26,746","36,244","38,924","50,499","56,993"
1011,"13,402","11,817","10,565","10,340","10,169","10,313"
1013,"24,545","21,903","21,423","21,648","21,143","20,463"
1015,"92,644","97,822","111,618","110,981","109,830","114,887"
1017,"38,750","36,096","38,869","36,424","36,006","33,785"
1019,"16,875","15,536","18,668","19,464","23,601","25,440"
1021,"26,043","25,113","30,387","32,113","39,179","43,197"
1023,"18,073","16,515","16,793","15,929","15,738","13,668"
1025,"26,327","26,589","27,338","26,896","27,479","25,537"
1027,"12,728","12,519","13,675","13,025","13,981","13,513"
1029,"10,956","10,871","12,550","12,653","14,004","14,740"
1031,"30,187","34,657","38,262","39,780","42,767","49,208"
1033,"46,794","49,352","54,165","51,345","54,384","53,890"
1035,"18,081","15,545","15,782","13,939","13,987","13,119"
1037,"11,356","10,596","11,277","10,902","11,788","11,006"
1039,"36,429","33,839","36,502","36,162","37,063","37,253"
1041,"15,119","13,101","13,952","13,479","13,408","13,796"
1043,"45,292","51,493","61,132","66,728","76,428","79,211"
1045,"29,412","45,330","44,062","47,128","47,305","48,486"
1047,"55,620","53,829","53,155","47,176","45,864","43,161"
1049,"42,071","41,764","53,316","54,070","63,615","70,192"
1051,"29,157","32,393","41,627","45,813","60,397","73,602"
1053,"33,095","32,901","36,831","34,148","36,316","35,527"
1055,"97,858","93,614","101,864","98,492","101,529","102,425"
1057,"16,053","16,252","18,684","17,790","18,148","16,916"
1059,"22,142","23,797","28,062","27,471","30,786","31,247"
1061,"22,813","21,834","24,123","23,510","25,537","26,361"
1063,"13,747","10,615","10,921","10,039","9,893","9,026"
1065,"19,918","15,747","15,366","15,223","16,855","15,448"
1067,"15,674","13,237","15,259","15,189","16,108","17,039"
1069,"50,411","56,128","74,201","80,358","87,646","100,167"
1071,"37,307","39,127","51,132","47,552","53,333","52,693"
1073,"629,388","638,855","662,694","639,105","647,628","645,062"
1075,"14,439","14,261","16,249","15,536","15,664","14,361"
1077,"60,895","66,954","78,841","78,004","86,249","90,550"
1079,"24,763","27,128","29,999","31,280","34,561","33,898"
1081,"45,771","55,708","71,404","82,589","110,577","135,639"
1083,"37,387","40,942","45,514","52,382","62,943","79,243"
1085,"15,679","12,813","13,215","12,594","13,416","11,217"
1087,"23,859","22,121","24,133","22,650","21,738","18,953"
1089,"115,568","182,038","191,597","232,971","269,395","327,119"
1091,"27,951","23,659","24,847","22,829","22,411","20,600"
1093,"22,002","23,529","29,777","29,166","30,254","29,690"
1095,"47,764","53,711","64,965","70,055","81,130","91,975"
1097,"310,190","312,031","358,937","371,173","392,003","403,138"
1099,"22,925","20,807","22,516","23,745","24,072","22,777"
1101,"162,638","163,817","191,416","201,381","212,277","220,734"
1103,"61,114","76,651","89,084","98,282","109,639","117,763"
