year,fips,pop,uninsured,uninsured_pct,insured,insured_pct
2018,1000,"3,955,117","470,052",11.9,"3,485,065",88.1
2017,1000,"3,966,117","438,049",11.0,"3,528,068",89.0
2016,1000,"3,973,078","427,972",10.8,"3,545,106",89.2
2015,1000,"3,994,181","475,233",11.9,"3,518,948",88.1
2014,1000,"4,006,946","567,439",14.2,"3,439,507",85.8
2013,1000,"4,018,325","637,841",15.9,"3,380,484",84.1
2012,1000,"4,020,138","633,845",15.8,"3,386,293",84.2
2011,1000,"4,027,622","669,410",16.6,"3,358,212",83.4
2010,1000,"4,021,188","681,437",16.9,"3,339,750",83.1
2009,1000,"3,947,226","623,621",15.8,"3,323,605",84.2
2008,1000,"3,915,304","600,542",15.3,"3,314,761",84.7
2007,1000,"3,978,327","579,599",14.6,"3,398,728",85.4
2006,1000,"3,961,644","621,448",15.7,"3,340,196",84.3
2018,1001,"46,709","4,693",10.0,"42,016",90.0
2017,1001,"46,929","4,093",8.7,"42,836",91.3
2016,1001,"47,077","4,002",8.5,"43,075",91.5
2015,1001,"47,200","4,431",9.4,"42,769",90.6
2014,1001,"47,430","5,225",11.0,"42,205",89.0
2013,1001,"47,432","6,353",13.4,"41,079",86.6
2012,1001,"47,816","6,138",12.8,"41,677",87.2
2011,1001,"47,964","6,682",13.9,"41,282",86.1
2010,1001,"47,547","6,467",13.6,"41,080",86.4
2009,1001,"44,518","6,248",14.0,"38,270",86.0
2008,1001,"44,354","5,880",13.3,"38,474",86.7
2007,1001,"45,256","6,207",13.7,"39,049",86.3
2006,1001,"44,943","6,309",14.0,"38,633",86.0
2018,1003,"172,071","22,660",13.2,"149,411",86.8
2017,1003,"168,696","19,119",11.3,"149,577",88.7
2016,1003,"165,740","17,733",10.7,"148,007",89.3
2015,1003,"162,707","18,751",11.5,"143,956",88.5
2014,1003,"160,491","25,892",16.1,"134,599",83.9
2013,1003,"157,864","27,521",17.4,"130,343",82.6
2012,1003,"154,386","24,378",15.8,"130,008",84.2
2011,1003,"152,073","25,214",16.6,"126,858",83.4
2010,1003,"149,780","28,586",19.1,"121,194",80.9
2009,1003,"147,060","24,365",16.6,"122,696",83.4
2008,1003,"143,932","23,631",16.4,"120,301",83.6
2007,1003,"145,484","26,576",18.3,"118,908",81.7
2006,1003,"143,017","28,811",20.1,"114,206",79.9
2018,1005,"17,106","2,310",13.5,"14,796",86.5
2017,1005,"17,447","2,136",12.2,"15,311",87.8
2016,1005,"17,997","2,252",12.5,"15,745",87.5
2015,1005,"18,647","2,482",13.3,"16,165",86.7
2014,1005,"19,176","2,942",15.3,"16,234",84.7
2013,1005,"19,569","3,434",17.5,"16,135",82.5
2012,1005,"19,785","3,468",17.5,"16,317",82.5
2011,1005,"20,148","3,810",18.9,"16,338",81.1
2010,1005,"20,428","3,782",18.5,"16,646",81.5
2009,1005,"22,372","4,003",17.9,"18,369",82.1
2008,1005,"22,304","3,934",17.6,"18,370",82.4
2007,1005,"22,676","3,064",13.5,"19,612",86.5
2006,1005,"21,621","3,492",16.2,"18,129",83.8
2018,1007,"16,643","1,764",10.6,"14,879",89.4
2017,1007,"16,921","1,727",10.2,"15,194",89.8
2016,1007,"17,004","1,646",9.7,"15,358",90.3
