year,fips,farm_employment,income_benefits,nonfarm_employment,percapita_income_benefits,percapita_retirement_other,percapita_unemployment_ins,wage_salary_avg,percapita_net_earnings,percapita_personal_income,personal_income,total_employment
2017-01-01,27113,424,11054,1573,779,8782,256,45353,29725,52920,750993,12797
2017-01-01,34031,72,679108,65841,1348,8080,256,53343,31013,48294,24325157,245269
2017-01-01,25005,608,606632,63060,1082,9847,259,49142,33509,51710,28987051,302251
2017-01-01,12119,1171,51175,11081,410,17712,6,41452,11925,44097,5509132,42991
2017-01-01,37043,126,8587,1621,781,11232,6,32713,12724,32611,358755,3756
2017-01-01,37149,232,13073,3075,637,10812,8,33199,18067,43202,886427,8736
2017-01-01,37189,492,21970,8008,399,6410,8,36026,19204,35384,1949233,34195
2017-01-01,37073,152,9547,924,829,8529,9,31669,20729,35418,407842,2824
2017-01-01,37113,258,25716,5006,743,10894,9,35266,16042,38762,1342084,17195
2017-01-01,37175,166,24386,5023,721,10374,9,35879,17070,40066,1355223,15032
2017-01-01,12041,519,16388,1393,917,8562,10,34821,19127,33217,593422,5606
2017-01-01,12067,180,6110,447,709,5595,10,33658,13572,24232,208956,2085
2017-01-01,37003,491,26264,3584,707,8804,10,34922,21440,36178,1343855,13831
2017-01-01,37029,42,5078,1106,481,7916,10,35524,27756,43656,461050,2672
2017-01-01,37039,202,22708,3252,812,11603,10,34553,13199,31101,870199,12011
2017-01-01,37089,367,68691,14718,595,9980,10,40620,20675,41286,4766717,55190
2017-01-01,27125,264,2948,454,733,8757,266,36068,33131,50000,201100,1831
2017-01-01,12047,253,17180,860,1194,8252,11,44360,11948,25063,360637,4370
2017-01-01,12077,72,7310,578,887,6682,11,38600,11888,23087,190282,2607
2017-01-01,12125,258,13574,942,877,5765,11,38279,10891,20756,321082,5066
2017-01-01,12027,709,35153,2239,944,7268,12,35859,11246,23869,889180,13682
2017-01-01,12109,142,91546,38717,375,7833,12,46147,39841,65660,16016214,117244
2017-01-01,12131,601,42038,14337,616,7866,12,39954,30583,57822,3947763,42117
2017-01-01,37123,195,26684,2048,976,8508,12,37002,17627,33760,923246,12452
2017-01-01,37125,555,57051,13026,587,10176,12,40497,24699,49257,4789385,50883
2017-01-01,37135,498,65077,23220,452,5901,12,52708,37895,63460,9135738,103596
2017-01-01,37199,351,16096,2185,909,10706,12,33136,15830,34410,609478,6631
2017-01-01,12029,177,19762,1266,1188,9739,13,37110,10918,26862,446870,4298
2017-01-01,12059,719,19806,1782,1018,9798,13,32290,13940,29598,575625,6242
2017-01-01,12063,1031,49886,3901,1032,9807,13,36332,14497,30763,1487695,20210
2017-01-01,12065,552,13465,1705,952,9236,13,34693,21228,39715,561845,4968
2017-01-01,12091,415,125870,27169,618,8699,13,50444,24860,47111,9595802,131680
2017-01-01,37009,900,21974,3687,820,10089,13,35548,17608,35368,947971,12627
2017-01-01,37011,379,12358,2378,706,9013,13,32696,16424,34942,611662,10236
2017-01-01,37103,135,10285,833,1071,11323,13,35320,19948,38420,368907,2849
2017-01-01,37111,252,43594,3533,965,9608,13,38061,17551,32721,1477800,20685
2017-01-01,37133,269,138756,16334,712,7258,13,45549,28433,44836,8735704,115950
2017-01-01,37197,774,27506,3427,731,9119,13,35935,20781,36046,1356883,14771
2017-01-01,6101,1091,96209,9907,998,7787,269,42161,25787,42752,4122879,42848
2017-01-01,12003,344,26549,2049,940,7307,14,35402,18767,31076,877281,10368
2017-01-01,12013,187,14303,967,991,8281,14,33887,12849,25901,373939,4112
2017-01-01,12121,1071,46828,3810,1061,9637,14,35417,16477,31943,1409852,17138
2017-01-01,12129,145,21788,3278,679,6661,14,37609,22476,35087,1126321,9354
