party_prediction,county_fips,county_name,state_fips,state_code
R,001001,AUTAUGA COUNTY,001000,AL
R,001003,BALDWIN COUNTY,001000,AL
D,001005,BARBOUR COUNTY,001000,AL
R,001007,BIBB COUNTY,001000,AL
R,001009,BLOUNT COUNTY,001000,AL
D,001011,BULLOCK COUNTY,001000,AL
R,001013,BUTLER COUNTY,001000,AL
R,001015,CALHOUN COUNTY,001000,AL
R,001017,CHAMBERS COUNTY,001000,AL
R,001019,CHEROKEE COUNTY,001000,AL
R,001021,CHILTON COUNTY,001000,AL
R,001023,CHOCTAW COUNTY,001000,AL
R,001025,CLARKE COUNTY,001000,AL
R,001027,CLAY COUNTY,001000,AL
R,001029,CLEBURNE COUNTY,001000,AL
R,001031,COFFEE COUNTY,001000,AL
R,001033,COLBERT COUNTY,001000,AL
D,001035,CONECUH COUNTY,001000,AL
R,001037,COOSA COUNTY,001000,AL
R,001039,COVINGTON COUNTY,001000,AL
R,001041,CRENSHAW COUNTY,001000,AL
R,001043,CULLMAN COUNTY,001000,AL
R,001045,DALE COUNTY,001000,AL
D,001047,DALLAS COUNTY,001000,AL
R,001049,DEKALB COUNTY,001000,AL
R,001051,ELMORE COUNTY,001000,AL
R,001053,ESCAMBIA COUNTY,001000,AL
R,001055,ETOWAH COUNTY,001000,AL
R,001057,FAYETTE COUNTY,001000,AL
R,001059,FRANKLIN COUNTY,001000,AL
R,001061,GENEVA COUNTY,001000,AL
D,001063,GREENE COUNTY,001000,AL
D,001065,HALE COUNTY,001000,AL
R,001067,HENRY COUNTY,001000,AL
R,001069,HOUSTON COUNTY,001000,AL
R,001071,JACKSON COUNTY,001000,AL
D,001073,JEFFERSON COUNTY,001000,AL
R,001075,LAMAR COUNTY,001000,AL
R,001077,LAUDERDALE COUNTY,001000,AL
R,001079,LAWRENCE COUNTY,001000,AL
R,001081,LEE COUNTY,001000,AL
R,001083,LIMESTONE COUNTY,001000,AL
D,001085,LOWNDES COUNTY,001000,AL
D,001087,MACON COUNTY,001000,AL
R,001089,MADISON COUNTY,001000,AL
D,001091,MARENGO COUNTY,001000,AL
R,001093,MARION COUNTY,001000,AL
R,001095,MARSHALL COUNTY,001000,AL
R,001097,MOBILE COUNTY,001000,AL
R,001099,MONROE COUNTY,001000,AL
D,001101,MONTGOMERY COUNTY,001000,AL
R,001103,MORGAN COUNTY,001000,AL
D,001105,PERRY COUNTY,001000,AL
R,001107,PICKENS COUNTY,001000,AL
R,001109,PIKE COUNTY,001000,AL
R,001111,RANDOLPH COUNTY,001000,AL
D,001113,RUSSELL COUNTY,001000,AL
R,001115,ST. CLAIR COUNTY,001000,AL
R,001117,SHELBY COUNTY,001000,AL
D,001119,SUMTER COUNTY,001000,AL
R,001121,TALLADEGA COUNTY,001000,AL
R,001123,TALLAPOOSA COUNTY,001000,AL
R,001125,TUSCALOOSA COUNTY,001000,AL
R,001127,WALKER COUNTY,001000,AL
R,001129,WASHINGTON COUNTY,001000,AL
D,001131,WILCOX COUNTY,001000,AL
R,001133,WINSTON COUNTY,001000,AL
R,002013,ALEUTIANS EAST BOROUGH,002000,AK
D,002016,ALEUTIANS WEST CENSUS AREA,002000,AK
